DD,BR,PH,DO,TEMP,COND,CH4,NH3N,H2S,M.Diversity,M.Abundance,I.Diversity,I.Abundance,O.Cond,G.Cond,K
224,BR1,7.7,3,24.59,1323,1.35,0.09,0.02463,0.265071128,0.805738849,0.607340415,0.909859008,ALL,DOLOMITE,0.008375072
224,BR2,7.93,1.43,24.84,1373,,0.16,0.0456,0.51713158,0.318872857,0.547594857,0.403579521,ALL,DOLOMITE,0.005253269
224,BR3,7.89,0.06,24.66,1244,11.45,0.05,0.02243,0.77654438,0.010745656,0.217171629,0.266103241,ALL,DOLOMITE,0.00851215
224,BR4,8.25,0.1,26.65,957.9,109.18,0.38,0.08021,0.948855749,0.340896799,0.923228874,0.530742212,ALL,DOLOMITE,0.0071822
224,BR5,8.13,0.1,24.27,1286,,0.15,0.03196,0.958333837,0.784297693,0.877406588,0.502954421,ALL,DOLOMITE,0.000602642
224,SW,8.33,5.38,27.17,868.1,10.61,0.01,0.0066,0.2725659,0.870332002,0.171942213,0.41687362,ALL,DOLOMITE,0.001515267
291,BR4,8.29,0.75,28.82,886.6,8.53,0.23,0.05264,0.985224995,0.140500043,0.640637331,0.372458086,ALL,DOLOMITE,0.008800426
291,SW,8.57,6.13,29.14,734.4,17.37,0.02,0.00381,0.115703483,0.384281166,0.780365684,0.343254192,ALL,DOLOMITE,0.005325078
337,BR1,7.34,0.57,26.97,470.2,42.17,0.11,0.0173,0.324704902,0.785917145,0.91625158,0.734303571,ALL,DOLOMITE,0.006341409
337,BR2,7.54,0.14,27.41,449.5,,0.22,0.05762,0.273944896,0.914445935,0.242467034,0.608573199,ALL,DOLOMITE,0.004924409
337,BR3,7.36,0.69,24.73,505.5,9.89,0.14,0.03094,0.385617437,0.665649293,0.801727432,0.242385635,ALL,DOLOMITE,0.001871523
337,BR4,7.9,0.02,27.2,477.6,11.71,0.18,0.02815,0.094064066,0.731589023,0.965952597,0.877182143,ALL,DOLOMITE,0.002535303
337,SW,7.95,5.91,28.31,508,5.6,0.01,0.00616,0.915675501,0.52928265,0.002737853,0.903856014,ALL,DOLOMITE,0.007290011
433,BR1,7.84,0.05,28.41,571.2,495.56,0.19,0.05425,0.672663339,0.139169329,0.033907543,0.059172506,ALL,DOLOMITE,0.005339166
433,BR2,7.5,0.01,25.88,658.1,,0.1,0.03666,0.712636152,0.147116034,0.703663633,0.577907898,ALL,DOLOMITE,0.008874781
433,BR3,7.97,0.81,28.5,518.8,89.27,0.23,0.07933,0.237347059,0.970910644,0.04244574,0.1029507,ALL,DOLOMITE,0.001220759
433,BR4,7.86,2.14,29.17,527.4,60.49,0.17,0.02713,0.628927818,0.815680834,0.228280827,0.60378574,ALL,DOLOMITE,0.003056318
433,SW,8,5.37,29.44,505.5,41.56,0.01,0.00806,0.035610599,0.633454281,0.099712781,0.98074727,ALL,DOLOMITE,0.009379408
1130,BR1,8.06,2.69,27.84,548.7,4.34,0.06,0.01452,0.556340957,0.347901001,0.017508316,0.649416922,ALL,LIMESTONE,0.008866406
1130,BR2,8.14,2.17,28.11,539.5,,0.09,0.0129,0.555643237,0.060236457,0.785195129,0.897989039,ALL,LIMESTONE,0.006338869
1130,BR3,7.92,2.96,26.37,563.6,29.31,0.04,0.01202,0.145765344,0.886600628,0.841916063,0.329428497,ALL,LIMESTONE,0.002176368
1130,BR4,8.05,1.55,27.37,591.1,9.98,0.1,0.02375,0.002280642,0.959732199,0.917218031,0.474858804,ALL,LIMESTONE,0.002513337
1130,BR5,8.13,1.14,28.42,562.4,,0.22,0.04384,0.263339519,0.106065359,0.065750254,0.53726247,ALL,DOLOMITE,0.008207776
1130,SW,8.66,7.38,27.68,541.7,27.73,0,0.00293,0.595505557,0.138539233,0.000618694,0.504806382,ALL,DOLOMITE,0.006907312
1208,BR1,8.74,0.2,28.72,439.2,15.65,0.02,0.0085,0.183250148,0.811890044,0.733852683,0.135472749,ALL,DOLOMITE,0.009244007
1208,BR2,8.4,0.05,28.22,467.6,,0.05,0.00792,0.849443694,0.472343409,0.665323484,0.305370347,ALL,DOLOMITE,0.002086043
1208,BR3,8.49,0.39,28.16,459.7,8.95,0.01,0.00381,0.6080089,0.875625041,0.768386298,0.373338078,ALL,DOLOMITE,0.004194413
1208,BR4,8.5,0.01,27.71,457.6,9.4,0.03,0.00894,0.105509546,0.128102369,0.459012858,0.722036021,ALL,DOLOMITE,0.004499935
1208,BR5,8.48,1.05,27.69,482.3,,0.08,0.01965,0.354879566,0.172530284,0.495773412,0.690804366,ALL,DOLOMITE,0.007185285
1208,SW,8.96,7.66,29.58,424.1,34.99,0,0.00249,0.41773036,0.114119114,0.72530344,0.341872244,ALL,DOLOMITE,0.002450358
1805,BR1,7.91,4.63,28.4,467.1,3.09,0,0.01173,0.142038529,0.191078509,0.815837959,0.469512732,ALL,LIMESTONE,0.001783775
1805,BR2,7.98,0.14,28.58,475.3,,0.02,0.00499,0.098130861,0.087107738,0.121740868,0.296406421,ALL,LIMESTONE,0.005662032
1805,BR3,7.82,0.78,27.59,498.6,613.82,0.27,0.05264,0.760025587,0.587078419,0.287676967,0.831189743,ALL,LIMESTONE,0.008543313
1805,BR4,7.98,0.01,27.21,514.1,94.92,0.01,0.00953,0.235177282,0.409661121,0.811415179,0.888454543,ALL,LIMESTONE,0.009864664
1805,BR5,7.49,4.73,25.32,649.9,,0.06,0.01584,0.840457991,0.919814197,0.143536544,0.843880926,ALL,LIMESTONE,0.005397548
1805,SW,8.3,7.78,29.36,470.8,10.55,0,0.00674,0.187453251,0.982817598,0.210449118,0.497099637,ALL,LIMESTONE,0.008389328
1917,BR1,7.86,3.58,30.25,509.1,9.35,0.02,0.00806,0.929865276,0.363184368,0.611045443,0.886678353,ALL,LIMESTONE,0.004155069
1917,BR2,7.72,1.63,30.45,506.9,,0,0.00645,0.546692523,0.848763458,0.431079378,0.833101562,ALL,LIMESTONE,0.00583818
1917,BR3,7.69,1.93,26.18,505.6,18.55,0.02,0.00953,0.849515611,0.730367897,0.724071157,0.280120195,ALL,LIMESTONE,0.003736968
1917,BR4,7.84,4.47,30.63,489,4.1,0.02,0.00396,0.860343922,0.779588358,0.774531855,0.097493186,ALL,LIMESTONE,0.004361058
1917,BR5,7.8,2.43,25.91,509.8,,0.12,0.02742,0.620162867,0.30750453,0.929315716,0.180493812,ALL,LIMESTONE,0.000441967
1917,SW,8.22,7.1,30.8,495.9,12.73,0,0.00601,0.9896287,0.250812217,0.137383614,0.56196869,ALL,LIMESTONE,0.005694643
2107,BR1,7.63,0,25.72,608.4,308.34,0.05,0.01613,0.229501654,0.441087939,0.773305605,0.315267838,TERR,LIMESTONE,0.001297619
2107,BR2,8.11,0,26.87,521.5,,0.15,0.01994,0.312294439,0.447515075,0.132861445,0.430414179,TERR,LIMESTONE,0.009171904
2107,BR3,7.72,0.72,25.25,641.6,249.79,0.19,0.02683,0.644768582,0.13560836,0.810192014,0.625363096,TERR,LIMESTONE,0.00550728
2107,BR4,8.3,0,27.47,492.2,,0.04,0.0063,0.567456975,0.898251715,0.585355334,0.002062455,TERR,LIMESTONE,0.009967246
2107,BR5,8.13,3.75,23.34,656,,0.06,0.01877,0.447466634,0.984326365,0.686457097,0.519000664,TERR,LIMESTONE,0.005151731
2107,SW,8.49,5.66,29.51,459.5,61.64,0,0.00557,0.458358147,0.215840203,0.144546487,0.637485645,TERR,LIMESTONE,0.003210268
2210,BR1,7.88,3.75,24.68,552.8,33.14,0,0.00543,0.556944651,0.574934188,0.231793475,0.92340192,TERR,LIMESTONE,0.007695074
2210,BR2,7.65,2.7,23.75,670.3,,0.01,0.00455,0.973246898,0.639739502,0.066475939,0.747022805,TERR,LIMESTONE,0.000199322
2210,BR3,7.85,1.83,23.86,673.7,13.96,0.01,0.00528,0.500188285,0.924123657,0.522186468,0.367936166,TERR,LIMESTONE,0.000639665
2210,SW,8.44,7.53,30.8,503.6,25.6,0,0.00367,0.435505798,0.413237838,0.983439165,0.960788337,TERR,LIMESTONE,0.002162677
2286,BR1,7.18,0.01,24.8,598.7,176.51,0.12,0.02962,0.947564979,0.832723659,0.168714076,0.982185345,TERR,LIMESTONE,0.002343568
2286,BR2,7.59,0.63,25.82,658.3,,0.33,0.06129,0.384488742,0.294915822,0.330474262,0.933496843,TERR,LIMESTONE,0.000721873
2286,BR3,7.82,2.6,25.43,560.9,46.92,0.04,0.01188,0.4460973,0.490053773,0.459632074,0.855922931,TERR,LIMESTONE,0.001594365
2286,BR4,7.56,2.65,25.52,581.4,61.89,0.04,0.01305,0.601933058,0.914351405,0.771263717,0.540786787,TERR,LIMESTONE,0.008523588
2286,SW,7.41,5.23,25.47,576.3,11.02,0,0.00528,0.277302819,0.530251447,0.490492513,0.818274279,TERR,LIMESTONE,0.004203999
