Sample Location ,HS,NH3N
Bou Rouche Spike 1 - Upstream,0.840,3.135
Bou Rouche Spike 2 - Mid Stream,1.555,5.395
Bou Rouche Spike 3 - Downstream,0.765,1.765
Bou Rouche Spike 4 - In Channel,2.735,13.090
Bou Rouche Spike 5 - Off Channel,1.090,5.050
Surface Water,0.225,0.410
Bou Rouche Spike 4 - In Channel,1.795,7.765
Surface Water,0.130,0.640
Bou Rouche Spike 1 - Upstream,0.590,3.585
Bou Rouche Spike 2 - Mid Stream,1.965,7.340
Bou Rouche Spike 3 - Downstream,1.055,4.800
Bou Rouche Spike 4 - In Channel,0.960,6.045
Surface Water,0.210,0.495
Bou Rouche Spike 1 - Upstream,1.850,6.380
Bou Rouche Spike 2 - Mid Stream,1.250,3.575
Bou Rouche Spike 3 - Downstream,2.705,7.900
Bou Rouche Spike 4 - In Channel,0.925,5.850
Surface Water,0.275,0.490
Bou Rouche Spike 1 - Upstream,0.495,2.060
Bou Rouche Spike 2 - Mid Stream,0.440,2.935
Bou Rouche Spike 3 - Downstream,0.410,1.330
Bou Rouche Spike 4 - In Channel,0.810,3.470
Bou Rouche Spike 5 - Off Channel,1.495,7.465
Surface Water,0.100,0.160
Bou Rouche Spike 1 - Upstream,0.290,0.565
Bou Rouche Spike 2 - Mid Stream,0.270,1.745
Bou Rouche Spike 3 - Downstream,0.130,0.180
Bou Rouche Spike 4 - In Channel,0.305,1.055
Bou Rouche Spike 5 - Off Channel,0.670,2.895
Surface Water,0.085,0.165
Bou Rouche Spike 1 - Upstream,0.400,0.115
Bou Rouche Spike 2 - Mid Stream,0.170,0.765
Bou Rouche Spike 3 - Downstream,1.795,9.345
Bou Rouche Spike 4 - In Channel,0.325,0.300
Bou Rouche Spike 5 - Off Channel,0.540,2.205
Surface Water,0.230,0.025
Bou Rouche Spike 1 - Upstream,0.275,0.610
Bou Rouche Spike 2 - Mid Stream,0.220,0.075
Bou Rouche Spike 3 - Downstream,0.325,0.795
Bou Rouche Spike 4 - In Channel,0.135,0.725
Bou Rouche Spike 5 - Off Channel,0.935,3.920
Surface Water,0.205,0.000
Bou Rouche Spike 1 - Upstream,0.550,1.565
Bou Rouche Spike 2 - Mid Stream,0.680,5.165
Bou Rouche Spike 3 - Downstream,0.915,6.570
Bou Rouche Spike 4 - In Channel,0.215,1.245
Bou Rouche Spike 5 - Off Channel,0.640,2.210
Surface Water,0.190,0.000
Bou Rouche Spike 1 - Upstream,0.185,0.170
Bou Rouche Spike 2 - Mid Stream,0.155,0.290
Bou Rouche Spike 3 - Downstream,0.180,0.360
Surface Water,0.125,0.000
Bou Rouche Spike 1 - Upstream,1.010,4.055
Bou Rouche Spike 2 - Mid Stream,2.090,11.380
Bou Rouche Spike 3 - Downstream,0.405,1.275
Bou Rouche Spike 4 - In Channel,0.445,1.405
Surface Water,0.180,0.000
